Image,Depth,ColorSpace,Size,FuzzErrorMetric,MeanSquareErrorMetric,PeakSignalToRatioErrorMetric,PerceptualErrorMetric,
pictures\5.hdr,10,RGB,2595840,0.000272,0.000000,71.319065,0.000137,
pictures\5.hdr,12,RGB,3115008,0.000051,0.000000,85.824055,0.000006,
pictures\5.hdr,4,sRGB,1038336,0.018082,0.000327,34.855220,0.761437,
pictures\5.hdr,6,sRGB,1557504,0.004285,0.000018,47.361847,0.006144,
pictures\5.hdr,8,sRGB,2076672,0.001065,0.000001,59.455066,0.000173,
pictures\5.hdr,10,sRGB,2595840,0.000273,0.000000,71.292034,0.000004,
pictures\5.hdr,12,sRGB,3115008,0.000068,0.000000,83.340689,0.000000,
pictures\5.hdr,4,XYZ,1038336,0.042188,0.001780,27.496119,10.107301,
pictures\5.hdr,6,XYZ,1557504,0.017566,0.000309,35.106296,1.723897,
pictures\5.hdr,8,XYZ,2076672,0.013867,0.000192,37.160557,2.379489,
pictures\5.hdr,10,XYZ,2595840,0.013605,0.000185,37.326116,0.903791,
pictures\5.hdr,12,XYZ,3115008,0.013590,0.000185,37.335546,0.877816,
pictures\5.hdr,4,YCC,1038336,0.069491,0.004829,23.161419,35.909146,
pictures\5.hdr,6,YCC,1557504,0.063833,0.004075,23.899085,6.104063,
pictures\5.hdr,8,YCC,2076672,0.063439,0.004025,23.952853,6.138698,
pictures\5.hdr,10,YCC,2595840,0.063428,0.004023,23.954420,6.151901,
pictures\5.hdr,12,YCC,3115008,0.063422,0.004022,23.955180,6.155492,
pictures\5.hdr,4,YPbPr,1038336,0.038741,0.001501,28.236641,43.039077,
pictures\5.hdr,6,YPbPr,1557504,0.008563,0.000073,41.347120,0.974927,
pictures\5.hdr,8,YPbPr,2076672,0.002120,0.000004,53.471471,0.028334,
pictures\5.hdr,10,YPbPr,2595840,0.000533,0.000000,65.466153,0.005536,
pictures\5.hdr,12,YPbPr,3115008,0.000136,0.000000,77.341139,0.000713,
pictures\5.hdr,4,YUV,1038336,0.035657,0.001271,28.957177,32.418357,
pictures\5.hdr,6,YUV,1557504,0.007798,0.000061,42.160634,0.807264,
pictures\5.hdr,8,YUV,2076672,0.001915,0.000004,54.357967,0.255135,
pictures\5.hdr,10,YUV,2595840,0.000479,0.000000,66.386698,0.221127,
pictures\5.hdr,12,YUV,3115008,0.000122,0.000000,78.303855,0.177180,
pictures\6.hdr,32,RGB(A),2236327,,,,,
pictures\6.hdr,4,CMYK,1384448,0.011738,0.000138,38.607929,8.302036,
pictures\6.hdr,6,CMYK,2076672,0.002797,0.000008,51.064856,0.017447,
pictures\6.hdr,8,CMYK,2768896,0.000692,0.000000,63.199311,0.000056,
pictures\6.hdr,10,CMYK,3461120,0.000176,0.000000,75.069222,0.002399,
pictures\6.hdr,12,CMYK,4153344,0.000044,0.000000,87.170632,0.000031,
pictures\6.hdr,4,YCbC,1038336,0.033171,0.001100,29.584741,156.247124,
pictures\6.hdr,6,YCbC,1557504,0.007382,0.000055,42.635938,63.192162,
pictures\6.hdr,8,YCbC,2076672,0.001829,0.000003,54.756567,2.730614,
pictures\6.hdr,10,YCbC,2595840,0.000464,0.000000,66.672120,1.032508,
pictures\6.hdr,12,YCbC,3115008,0.000119,0.000000,78.513925,0.006882,
pictures\6.hdr,4,HCL,1038336,0.012181,0.000148,38.286252,188.444270,
pictures\6.hdr,6,HCL,1557504,0.002937,0.000009,50.641458,1.445235,
pictures\6.hdr,8,HCL,2076672,0.000714,0.000001,62.926484,0.275358,
pictures\6.hdr,10,HCL,2595840,0.000177,0.000000,75.016932,0.000505,
pictures\6.hdr,12,HCL,3115008,0.000045,0.000000,86.962431,0.000095,
pictures\6.hdr,4,Lab,1038336,0.026375,0.000696,31.576007,106.251611,
pictures\6.hdr,6,Lab,1557504,0.005270,0.000028,45.563602,27.968719,
pictures\6.hdr,8,Lab,2076672,0.001261,0.000002,57.984588,3.041450,
pictures\6.hdr,10,Lab,2595840,0.000316,0.000000,69.995233,5.632056,
pictures\6.hdr,12,Lab,3115008,0.000079,0.000000,82.077551,3.101885,
pictures\6.hdr,4,Luv,1038336,0.020741,0.000430,33.663540,98.947080,
pictures\6.hdr,6,Luv,1557504,0.005322,0.000028,45.477905,9.119608,
pictures\6.hdr,8,Luv,2076672,0.001216,0.000001,58.302734,3.759192,
pictures\6.hdr,10,Luv,2595840,0.000380,0.000000,68.401737,2.698099,
pictures\6.hdr,12,Luv,3115008,0.000071,0.000000,82.918315,1.442804,
pictures\6.hdr,4,RGB,1038336,0.020590,0.000424,33.727083,51.415959,
pictures\6.hdr,6,RGB,1557504,0.004394,0.000019,47.142390,12.963431,
pictures\6.hdr,8,RGB,2076672,0.001072,0.000001,59.397872,0.401047,
pictures\6.hdr,10,RGB,2595840,0.000266,0.000000,71.516519,0.003258,
pictures\6.hdr,12,RGB,3115008,0.000050,0.000000,85.971917,0.002066,
pictures\6.hdr,4,sRGB,1038336,0.010904,0.000119,39.248396,6.716321,
pictures\6.hdr,6,sRGB,1557504,0.002588,0.000007,51.741103,0.116658,
pictures\6.hdr,8,sRGB,2076672,0.000642,0.000000,63.848129,0.022077,
pictures\6.hdr,10,sRGB,2595840,0.000164,0.000000,75.709586,0.001065,
pictures\6.hdr,12,sRGB,3115008,0.000041,0.000000,87.794554,0.000069,
pictures\6.hdr,4,XYZ,1038336,0.035148,0.001235,29.082109,101.557754,
pictures\6.hdr,6,XYZ,1557504,0.019993,0.000400,33.982242,77.237921,
pictures\6.hdr,8,XYZ,2076672,0.017661,0.000312,35.059793,23.935842,
pictures\6.hdr,10,XYZ,2595840,0.017445,0.000304,35.166644,17.540299,
pictures\6.hdr,12,XYZ,3115008,0.017435,0.000304,35.171655,15.534132,
pictures\6.hdr,4,YCC,1038336,0.037159,0.001381,28.598644,80.800353,
pictures\6.hdr,6,YCC,1557504,0.033513,0.001123,29.495629,18.884727,
pictures\6.hdr,8,YCC,2076672,0.033310,0.001110,29.548616,11.073053,
pictures\6.hdr,10,YCC,2595840,0.033293,0.001108,29.552982,11.468409,
pictures\6.hdr,12,YCC,3115008,0.033290,0.001108,29.553761,11.398748,
pictures\6.hdr,4,YPbPr,1038336,0.033171,0.001100,29.584741,156.247124,
pictures\6.hdr,6,YPbPr,1557504,0.007382,0.000055,42.635938,63.192162,
pictures\6.hdr,8,YPbPr,2076672,0.001829,0.000003,54.756567,2.730614,
