Image;Depth;ColorSpace;Size;RGBFuzzErrorMetric;RGBMeanSquareErrorMetric;RGBPeakSignalToRatioErrorMetric;RGBPerceptualErrorMetric;LABFuzzErrorMetric;LABMeanSquareErrorMetric;LABPeakSignalToRatioErrorMetric;LABPerceptualErrorMetric;
5.hdr;4;YCbC;1038336;0.044670;0.001995;26.999622;33.744012;0.022636;0.000512;32.903963;32.087918;
5.hdr;6;YCbC;1557504;0.049889;0.002489;26.039909;46.945360;0.026085;0.000680;31.672334;42.920173;
5.hdr;8;YCbC;2076672;0.051560;0.002658;25.753774;47.906349;0.026988;0.000728;31.376747;45.010921;
5.hdr;10;YCbC;2595840;0.051977;0.002702;25.683700;48.215079;0.027204;0.000740;31.307295;45.735434;
5.hdr;4;HCL;1038336;0.052949;0.002804;25.522925;52.835073;0.029206;0.000853;30.690420;53.654017;
5.hdr;6;HCL;1557504;0.051264;0.002628;25.803694;46.880649;0.028185;0.000794;30.999578;46.981611;
5.hdr;8;HCL;2076672;0.051146;0.002616;25.823775;46.470141;0.027986;0.000783;31.061255;46.305958;
5.hdr;10;HCL;2595840;0.051117;0.002613;25.828683;46.321079;0.027947;0.000781;31.073260;46.351103;
5.hdr;4;Lab;1038336;0.063485;0.004030;23.946561;72.219633;0.034549;0.001194;29.231401;87.703442;
5.hdr;6;Lab;1557504;0.070947;0.005034;22.981274;103.133862;0.038258;0.001464;28.345645;112.386409;
5.hdr;8;Lab;2076672;0.073078;0.005340;22.724298;106.765305;0.039193;0.001536;28.135891;119.188334;
5.hdr;10;Lab;2595840;0.073614;0.005419;22.660825;107.838099;0.039425;0.001554;28.084599;120.916956;
5.hdr;4;Luv;1038336;0.090878;0.008259;20.830805;133.368179;0.041796;0.001747;27.577202;100.477948;
5.hdr;6;Luv;1557504;0.087548;0.007665;21.155037;132.677935;0.041786;0.001746;27.579401;93.256509;
5.hdr;8;Luv;2076672;0.087511;0.007658;21.158766;132.503992;0.041860;0.001752;27.563926;93.075921;
5.hdr;10;Luv;2595840;0.087425;0.007643;21.167308;132.866157;0.041882;0.001754;27.559402;93.081664;
5.hdr;4;RGB;1038336;0.091473;0.008367;20.774129;44.260312;0.052221;0.002727;25.643090;36.937972;
5.hdr;6;RGB;1557504;0.092156;0.008493;20.709544;46.135604;0.052999;0.002809;25.514656;38.020277;
5.hdr;8;RGB;2076672;0.092345;0.008528;20.691688;46.630787;0.053224;0.002833;25.477831;38.306768;
5.hdr;10;RGB;2595840;0.092394;0.008537;20.687164;46.760367;0.053282;0.002839;25.468375;38.387694;
5.hdr;4;sRGB;1038336;0.093758;0.008791;20.559793;57.482467;0.054270;0.002945;25.308782;47.267890;
5.hdr;6;sRGB;1557504;0.093264;0.008698;20.605751;56.064706;0.053778;0.002892;25.387932;46.444399;
5.hdr;8;sRGB;2076672;0.093176;0.008682;20.613930;55.765259;0.053685;0.002882;25.402949;46.749869;
5.hdr;10;sRGB;2595840;0.093156;0.008678;20.615752;55.698605;0.053664;0.002880;25.406274;46.224508;
5.hdr;4;XYZ;1038336;0.106989;0.011447;19.413253;67.464798;0.066413;0.004411;23.554918;64.984586;
5.hdr;6;XYZ;1557504;0.106303;0.011300;19.469129;101.005002;0.064435;0.004152;23.817590;84.573521;
5.hdr;8;XYZ;2076672;0.106242;0.011287;19.474062;105.387004;0.064463;0.004156;23.813763;86.034081;
5.hdr;10;XYZ;2595840;0.106237;0.011286;19.474503;106.478395;0.064469;0.004156;23.812920;86.370046;
5.hdr;4;YCC;1038336;0.180950;0.032743;14.848844;123.985647;0.090263;0.008147;20.889853;111.090832;
5.hdr;6;YCC;1557504;0.242511;0.058812;12.305360;121.725260;0.121371;0.014731;18.317695;121.392768;
5.hdr;8;YCC;2076672;0.304474;0.092705;10.328989;151.060754;0.154993;0.024023;16.193744;149.395618;
5.hdr;10;YCC;2595840;0.349870;0.122409;9.121876;178.031548;0.184311;0.033971;14.688980;184.581606;
5.hdr;4;YPbPr;1038336;0.344408;0.118617;9.258539;191.269918;0.183611;0.033713;14.722017;218.710481;
5.hdr;6;YPbPr;1557504;0.341851;0.116862;9.323270;196.110019;0.182529;0.033317;14.773348;218.560216;
5.hdr;8;YPbPr;2076672;0.341269;0.116465;9.338059;198.540735;0.182235;0.033210;14.787347;216.630353;
5.hdr;10;YPbPr;2595840;0.341131;0.116370;9.341573;202.525219;0.182224;0.033206;14.787893;217.786047;
5.hdr;4;YUV;1038336;0.340804;0.116147;9.349908;185.145467;0.181098;0.032796;14.841744;190.929336;
5.hdr;6;YUV;1557504;0.339604;0.115331;9.380554;185.667272;0.180723;0.032661;14.859743;193.183522;
5.hdr;8;YUV;2076672;0.339895;0.115529;9.373104;190.205969;0.180680;0.032645;14.861803;196.338613;
5.hdr;10;YUV;2595840;0.339936;0.115556;9.372066;186.416427;0.180660;0.032638;14.862767;193.945234;
6.hdr;32;RGB(A);2236327;;;;;;;;;
6.hdr;4;CMYK;1384448;0.011738;0.000138;38.607929;8.302036;0.012684;0.000161;37.935097;1.669361;
6.hdr;6;CMYK;2076672;0.012066;0.000146;38.368728;8.094138;0.013586;0.000185;37.338044;4.219897;
6.hdr;8;CMYK;2768896;0.012222;0.000149;38.257360;8.016759;0.013896;0.000193;37.142250;1.417740;
6.hdr;10;CMYK;3461120;0.012264;0.000150;38.227035;8.094901;0.013977;0.000195;37.091612;2.191333;
6.hdr;4;YCbC;1038336;0.035115;0.001233;29.090177;166.819649;0.025456;0.000648;31.884367;175.039929;
6.hdr;6;YCbC;1557504;0.038230;0.001462;28.351841;175.297904;0.029779;0.000887;30.521659;187.315333;
6.hdr;8;YCbC;2076672;0.039724;0.001578;28.018884;186.626491;0.030851;0.000952;30.214702;194.157556;
6.hdr;10;YCbC;2595840;0.040099;0.001608;27.937433;193.127255;0.031103;0.000967;30.143924;193.971664;
6.hdr;4;HCL;1038336;0.038618;0.001491;28.264156;182.798086;0.032474;0.001055;29.769184;186.869748;
6.hdr;6;HCL;1557504;0.036018;0.001297;28.869502;170.385021;0.031663;0.001003;29.988916;175.560538;
